Country,Coffee type,Year Start,Year End,Total Production
Cuba,Arabica,725846400,757296000,17100000.0
Dominican Republic,Arabica/Robusta,725846400,757296000,36240000.0
Haiti,Arabica,725846400,757296000,27060000.0
Philippines,Robusta/Arabica,725846400,757296000,52500000.0
Tanzania,Arabica/Robusta,725846400,757296000,44040000.0
Zambia,Arabica,725846400,757296000,1620000.0
Cameroon,Robusta/Arabica,725846400,757296000,40980000.0
Central African Republic,Robusta,725846400,757296000,9960000.0
Colombia,Arabica,725846400,757296000,685320000.0
Costa Rica,Arabica,725846400,757296000,141540000.0
Côte d'Ivoire,Robusta,725846400,757296000,137580000.0
Democratic Republic of Congo,Robusta/Arabica,725846400,757296000,58800000.0
El Salvador,Arabica,725846400,757296000,142680000.0
Equatorial Guinea,Robusta,725846400,757296000,0.0
Ethiopia,Arabica,725846400,757296000,178020000.0
Gabon,Robusta,725846400,757296000,180000.0
Ghana,Robusta,725846400,757296000,2700000.0
Guatemala,Arabica/Robusta,725846400,757296000,212160000.0
Guinea,Robusta,725846400,757296000,3840000.0
Guyana,Robusta,725846400,757296000,0.0
Honduras,Arabica,725846400,757296000,109740000.0
India,Robusta/Arabica,725846400,757296000,211980000.0
Jamaica,Arabica,725846400,757296000,2040000.0
Kenya,Arabica,725846400,757296000,79680000.0
Lao People's Democratic Republic,Robusta,725846400,757296000,0.0
Liberia,Robusta,725846400,757296000,300000.0
Mexico,Arabica/Robusta,725846400,757296000,301380000.0
Nepal,Arabica,725846400,757296000,0.0
Nicaragua,Arabica,725846400,757296000,42360000.0
Nigeria,Robusta,725846400,757296000,2700000.0
Panama,Arabica,725846400,757296000,8520000.0
Sierra Leone,Robusta,725846400,757296000,2220000.0
Sri Lanka,Robusta/Arabica,725846400,757296000,3240000.0
Thailand,Robusta/Arabica,725846400,757296000,76500000.0
Togo,Robusta,725846400,757296000,11700000.0
Trinidad & Tobago,Robusta,725846400,757296000,960000.0
Uganda,Robusta/Arabica,725846400,757296000,188520000.0
Venezuela,Arabica,725846400,757296000,79980000.0
Viet Nam,Robusta/Arabica,725846400,757296000,181200000.0
Yemen,Arabica,725846400,757296000,0.0
Angola,Robusta/Arabica,757382400,788832000,4620000.0
Bolivia,Arabica,757382400,788832000,7020000.0
Brazil,Arabica/Robusta,757382400,788832000,1691520000.0
Burundi,Arabica/Robusta,757382400,788832000,39840000.0
Ecuador,Arabica/Robusta,757382400,788832000,142560000.0
Indonesia,Robusta/Arabica,757382400,788832000,322080000.0
Madagascar,Robusta,757382400,788832000,38460000.0
Malawi,Arabica,757382400,788832000,5040000.0
Papua New Guinea,Arabica/Robusta,757382400,788832000,68340000.0
Paraguay,Arabica,757382400,788832000,1500000.0
Peru,Arabica,757382400,788832000,70740000.0
Rwanda,Arabica,757382400,788832000,1320000.0
Timor-Leste,Arabica,757382400,788832000,0.0
Zimbabwe,Arabica,757382400,788832000,6360000.0
Congo,Robusta,757382400,788832000,480000.0
Cuba,Arabica,757382400,788832000,17040000.0
Dominican Republic,Arabica/Robusta,757382400,788832000,43800000.0
Haiti,Arabica,757382400,788832000,27000000.0
Philippines,Robusta/Arabica,757382400,788832000,52620000.0
Tanzania,Arabica/Robusta,757382400,788832000,40740000.0
Zambia,Arabica,757382400,788832000,1260000.0
Cameroon,Robusta/Arabica,757382400,788832000,24360000.0
Central African Republic,Robusta,757382400,788832000,15000000.0
Colombia,Arabica,757382400,788832000,777840000.0
Costa Rica,Arabica,757382400,788832000,148920000.0
Côte d'Ivoire,Robusta,757382400,788832000,180360000.0
Democratic Republic of Congo,Robusta/Arabica,757382400,788832000,77880000.0
El Salvador,Arabica,757382400,788832000,137580000.0
Equatorial Guinea,Robusta,757382400,788832000,180000.0
Ethiopia,Arabica,757382400,788832000,165780000.0
Gabon,Robusta,757382400,788832000,480000.0
Ghana,Robusta,757382400,788832000,3420000.0
Guatemala,Arabica/Robusta,757382400,788832000,227220000.0
Guinea,Robusta,757382400,788832000,11880000.0
Guyana,Robusta,757382400,788832000,0.0
Honduras,Arabica,757382400,788832000,130860000.0
India,Robusta/Arabica,757382400,788832000,180120000.0
Jamaica,Arabica,757382400,788832000,2700000.0
Kenya,Arabica,757382400,788832000,99780000.0
Lao People's Democratic Republic,Robusta,757382400,788832000,0.0
Liberia,Robusta,757382400,788832000,300000.0
Mexico,Arabica/Robusta,757382400,788832000,249540000.0
Nepal,Arabica,757382400,788832000,0.0
